Id_Key,Dept,Gender,Age,Total Comp,District,SSC_RES,HSC,CGPA,SSC_Board,HSC_Board,GroupOrSubject,TotalDue,ScholarshipCount,WaiverCount,ReAdmission,TotalLateRegFineCount,StudyDurationAtUiu,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Status
1021,1,1,27,33,0,2.6,3.1,1.85,5,5,"Maths,English writing,Reading,Social studies,Science",34000,0,5,0,0,5,3.67,2,1,3.33,1,1,2,2.33,1,4,Dropout
1022,1,2,26,45,0,3.75,3.58,2.24,5,5,B. Studies,37000,0,0,0,0,6,1,1,1,4,2,4,3.33,3.33,4,3,Dropout
1023,1,2,24,123,0,5,4.08,2.99,8,8,Science,0,1,0,0,7,14,4,3,3.67,4.67,3,4.33,3.33,4.33,3.67,2.33,Complete
1024,1,1,26,123,0,4.88,3.8,3,6,6,Science,0,3,0,0,1,15,2.67,3.67,3,3.67,4.67,4.67,3.67,4.33,3.33,4.33,Complete
1025,1,1,25,57,0,4.56,3,1.9,4,4,SCIENCE,0,0,1,0,0,8,2.33,3,1,2,3,1,3,3,3.33,1,Dropout
1026,1,1,25,24,0,4.38,4.33,1.89,8,8,Commerce,1000,0,0,0,1,5,1,2.67,1,3.33,1,3.67,3,1,2.33,1,Dropout
1027,1,2,26,39,0,5,4.6,1.67,5,5,Business studies,0,0,0,0,1,5,4,3,2.67,1,1,2,2,2,2.33,1,Dropout
1028,1,1,28,132,0,4,3.8,3.74,7,13,GED,0,9,0,0,5,12,5,5,5,5,5,4.67,5,5,5,5,Complete
1029,1,1,25,12,0,5,4.6,1.2,6,11,science,49000,0,0,0,1,3,1,2,1,1,2,1,2.33,1,3.67,0,Dropout
1030,1,1,26,24,0,3.88,3.42,1.79,5,5,Commerce,0,0,0,0,0,4,2.67,2,2.67,3,2.67,2.67,2.33,3,3.67,1,Dropout
1031,1,1,26,123,0,4.25,3.58,2.71,5,5,Business Studies,0,0,0,0,0,16,3.67,3.67,3.67,4,3.33,3.67,1,1,1,3,Complete
1032,1,1,26,15,0,3.69,3.33,1.38,5,5,Business Studies,22000,0,0,0,0,3,1,3.33,2.33,1,2,3.67,3,2.33,0,0,Dropout
1033,1,2,26,0,0,4.44,3.83,0,5,5,B. Studies,37000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
1034,1,1,28,123,0,3.2,3.2,3.24,7,13,5,0,3,0,0,3,12,4.67,5,4.67,4,4,4,4.33,4.67,2.33,3.67,Complete
1035,1,2,26,33,0,4.63,3.8,1.24,5,5,B. study,37000,0,0,0,4,6,1,1,1,1,2.67,1,2,1,2,2,Dropout
1036,1,2,25,36,0,4.81,4.8,1.65,5,5,Business Studies,0,0,0,0,0,6,1,1,1,2.67,1,1,3,3.67,3,4.33,Dropout
1037,1,1,24,45,0,3.5,3.17,1.96,5,5,B.Studies,0,0,7,0,1,8,3,2.33,1,4.33,2.67,2,1,1,2,3.67,Dropout
1038,1,1,26,15,0,4.88,3.92,1.25,5,5,Business studies,37000,0,0,0,1,3,1,1,1,2,3.33,1,3.67,3,3,0,Dropout
1039,1,1,24,0,0,4.13,3.25,0,5,5,Business Studies,37000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
1040,1,1,25,0,0,4.94,4.42,0,5,5,Science,28000,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
1041,1,2,24,39,0,4.63,4,2.28,4,4,Science,0,0,0,0,1,5,4,2.67,3,4.67,3.67,4.33,2.33,1,1,3,Dropout
1042,1,2,27,27,0,4.69,4.6,1.52,4,5,Business Studies,0,0,0,0,1,5,2.33,3.33,1,1,2,1,1,2.67,2.67,1,Dropout
1043,1,2,26,18,0,3.81,4.08,1.3,5,5,Commerce,37000,0,0,0,2,3,1,2,1,2,2.67,1,4.33,4.33,2.33,0,Dropout
1044,1,1,28,123,0,0,0,3.89,0,0,0,29480,11,0,0,3,13,5,1,5,5,4.67,4.67,5,5,5,5,Complete
1045,1,2,26,27,0,4.75,5,1.85,5,5,Business Studies,0,0,3,0,2,3,2.33,2.67,4,2,2,2.67,3.67,2.67,3.67,0,Dropout
1046,1,1,28,9,0,4.94,5,2.78,4,5,Business Studies,-250,0,1,0,1,1,3.67,4.33,3.33,0,0,0,0,0,0,0,Dropout
1047,1,2,25,123,0,4.5,4.33,3.01,5,5,Business Studies,0,0,2,0,2,14,4,3.33,3.33,4.33,4.67,4,3.67,4.33,3.67,4,Complete
1048,1,1,24,24,0,5,4.42,1.7,5,5,BUSINESS STUDY,38000,0,0,0,1,4,1,1,1,2,4.67,4.33,3.33,1,3.67,3,Dropout
1049,1,1,25,24,0,4.38,3.67,2.11,5,5,Commerce,32000,0,0,0,0,3,2.67,2,2,3.33,4.67,1,4.33,5,3,0,Dropout
1050,1,2,26,123,0,4.06,3.83,2.98,5,5,Business Studies,0,1,0,0,0,15,4,4.33,3.33,4.67,3.67,4,3.33,4,4.33,3.67,Complete
1051,1,1,25,9,0,4.13,3.83,2,5,5,Business,37000,0,2,0,1,2,2.67,2,4.33,2,1,1,0,0,0,0,Dropout
1052,1,1,24,123,0,3.94,4.17,2.46,5,5,Business Study,0,0,0,0,0,16,3.67,3.33,2.33,3,2,4,3,4,1,4,Complete
